CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG,LAY_NUMBER,LAY_MORPH1,LAY_MORPH2,LAY_MORPH3,LAY_NOTES,INT_MORPH1,INT_MORPH2,INT_MORPH3,CONF,NOTES,DEG_RIM,DEG_EJC,DEG_FLR
11-0-002258,-28.19434889,14.67314738,-28.19437877,14.67319712,12.68051182,0.15835368,12.69742878,12.64621799,0.089722117,1.004049495,23.75008249,0.000373523,0.000435258,0.056115133,0.054801977,49.49348959,0.068430072,0.006214581,1,82,,,,,,CpxFF,,Floor Deposits,,,1,1,1
03-1-027529,-39.5204463,190.7862299,-39.52021572,190.7861948,21.24945424,0.841142241,22.34688983,19.90113394,0.454875625,1.122895303,59.64546368,0.001152384,0.001521675,0.170617252,0.16717607,3.178510117,0.019791756,0.012746612,1,143,,,,,,CpxFF,,Floor Deposits / Slump Deposits / Tectonics,,,1,1,1
10-1-006090,25.4453685,87.88347859,25.44535229,87.88343332,13.33121577,0.216803203,13.54477546,13.09717368,0.254951217,1.034175448,29.58057229,0.000446247,0.00050605,0.066503533,0.064780151,6.818961789,0.025559006,0.007207485,0.96754873,79,2,DLERS,HuBL,,,CpxSuPt,Terraced / Gullies,Slump Deposits / Floor Deposits,,,3,2,3
12-1-001435,-47.66142456,14.12074024,-47.66141866,14.12073125,14.8145621,0.266304871,14.87356036,14.70758626,0.148974772,1.011284932,80.72823905,0.000459633,0.000729891,0.065675035,0.072249748,19.43977386,0.043353836,0.00667976,1,116,1,SLEPS,SmSL,,,CpxCPk,,Slump Deposits / Floor Deposits,,,3,2,2
03-1-002768,-8.816902126,206.4577978,-8.816997666,206.457451,16.55014191,0.294020953,16.69730994,16.40099462,0.187557062,1.018066912,27.46230416,0.000556986,0.000643388,0.095986979,0.081087689,13.1284135,0.03900436,0.007719258,0.89673847,89,,,,,,CpxFF,Channel W/Channel S,Floor Deposits / Tectonics,,,1,1,1
15-1-040310,-38.01187044,133.5809779,-38.01167736,133.5804898,36.30867781,0.45642367,36.43255531,36.07986948,0.13880675,1.009775142,49.20348675,0.000624405,0.001384444,0.098359679,0.130582753,17.64998334,0.031902609,0.004559433,0.79911625,197,,Rd,,,,CpxFF,,Ejecta Deposits / Floor Deposits,,,1,2,1
11-0-009018,-6.1256551,3.829959532,-6.125722676,3.830128842,11.76323624,0.177728993,12.01157079,11.52419638,0.281965345,1.042291401,167.2138246,0.000330369,0.000357502,0.052203286,0.048040056,4.712304665,0.019659616,0.006276799,0.94135875,68,,,,,,CpxFF,,Floor Deposits,,,1,1,1
11-1-016937,-37.51722068,51.31871157,-37.5175972,51.31797215,10.19237996,0.348058068,11.16095397,9.321590711,0.549951501,1.197322894,46.24730938,0.000343211,0.000573376,0.059376713,0.0494585,1.576713039,0.009530193,0.008996217,0.85743612,60,1,SLERS,HuSL,,,CpxFF,Terraced,,,,2,2,2
02-1-003791,23.68463549,183.8423906,23.68635976,183.8419461,53.25625982,0.731970466,54.17679633,52.15277456,0.270782941,1.038809474,167.0289667,0.000876985,0.000874599,0.114922661,0.124170569,2.879820698,0.010912724,0.003312548,0.7204414,201,,,,,,CpxFF,,,,,1,1,1
11-0-005800,-13.81553433,26.44437642,-13.81564223,26.44425711,11.20877697,0.15869101,11.70439799,10.71574299,0.402246683,1.092261918,119.9090274,0.000170196,0.000168769,0.02491892,0.023289622,1.154267172,0.006339796,0.003323136,1,69,,,,,,CpxFF,,Floor Deposits,,,1,1,1
07-1-005714,-7.250024121,338.5175947,-7.250229071,338.5130828,18.1676121,0.367294327,19.68945106,17.17424908,0.489048902,1.146451934,8.155835319,0.000447566,0.000830886,0.098500243,0.056503244,1.603222673,0.009315082,0.006864462,0.7456426,76,,,,,,CpxFF,,Floor Deposits / Slump Deposits,,,1,1,1
03-1-010874,-21.70516921,184.2201095,-21.70831915,184.222709,26.04511216,0.959954057,27.29833279,24.36491054,0.450964132,1.120395363,65.911476,0.002142772,0.004339165,0.370569753,0.380453404,6.728409888,0.036549958,0.023181567,0.74105358,125,,,,,,CpxFF,,Floor Deposits / Slump Deposits,,,1,1,1
10-0-009638,27.78976201,25.2371561,27.78973562,25.2369552,11.93199754,0.215112396,12.04065798,11.79286737,0.201830287,1.021011904,138.3722691,0.000467805,0.000573477,0.069540842,0.068884631,13.8248753,0.039041569,0.008386988,0.93454003,73,,,,,,CpxFF,Channel NW / Channel SE,Floor Deposits,,,1,1,1
10-0-003057,7.284864348,46.7374501,7.2847202,46.7371964,32.2973996,0.691672524,33.37080668,31.13312323,0.360019237,1.071874686,70.76070625,0.000915575,0.000880671,0.133428334,0.128304021,2.673495966,0.013881936,0.006154713,1,193,,,,,,CpxFF,,Floor Deposits,,,2,1,1
10-0-010546,29.78269909,45.16985288,29.78284921,45.16982916,24.63337895,0.483667589,25.04413807,24.12424218,0.268538279,1.038131597,86.21460181,0.000768021,0.000892612,0.110488332,0.112417659,5.7100827,0.022173011,0.006661746,0.96432698,149,,Rd,,,,CpxFF,Channel NE,Slump Deposits / Floor Deposits,,,1,1,1
