CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG,LAY_NUMBER,LAY_MORPH1,LAY_MORPH2,LAY_MORPH3,LAY_NOTES,INT_MORPH1,INT_MORPH2,INT_MORPH3,CONF,NOTES,DEG_RIM,DEG_EJC,DEG_FLR
10-4-019106,21.010916,5.3021455,21.010939,5.3020234,1.2349032,0.03876633,1.3162712,1.1624534,0.4691071,1.1323216,88.95816,0.000128797,0.000119345,0.018178528,0.015527786,5.5493503,0.031944618,0.021756005,1.0,16.0,,,,,,,,,,,,,
15-2-000692,-36.995045,161.38954,-36.99506,161.38947,1.1279157,0.020927258,1.1755235,1.08075,0.39337632,1.0876925,82.72378,0.000161887,0.000186893,0.023745796,0.022345953,10.756842,0.062110923,0.03144087,1.0,9.0,,,,,,,,,,,,,
10-4-018338,22.08206,70.33721,22.082039,70.33718,1.1193049,0.034516558,1.1879648,1.0525106,0.46372744,1.1286963,96.10233,0.000189211,0.000180028,0.027777784,0.024347099,8.718872,0.055675987,0.037124623,1.0,14.0,,,,,,,,,,,,,
11-4-021307,-21.51213,75.48756,-21.512098,75.487595,1.4396423,0.06339185,1.5202358,1.3529246,0.45606992,1.1236663,55.826214,0.000248325,0.000239484,0.034974467,0.032026213,9.77364,0.057323586,0.037091706,1.0,16.0,,,,,,,,,,,,,
11-0-010327,-2.4967532,70.71215,-2.4967608,70.712166,2.0641906,0.027482847,2.0684874,2.056074,0.109391704,1.0060375,39.652466,0.000208747,0.000200288,0.028905991,0.030390617,111.77553,0.18372223,0.020463912,1.0,13.0,,,,,,,,,,,,,
11-2-004117,-21.183119,46.592403,-21.183077,46.59248,1.1637899,0.044492655,1.2119986,1.104837,0.41111666,1.0969931,169.27415,0.000371321,0.000397233,0.0563313,0.054929357,21.978416,0.13756613,0.074660055,1.0,9.0,,,,,,,,,,,,,
07-2-003175,-35.66595,272.03937,-35.6659,272.03918,1.2695904,0.0401216,1.3522358,1.1967938,0.46549952,1.1298821,91.66271,0.000280589,0.000295316,0.040404104,0.03351782,11.347691,0.06891267,0.04627193,1.0,11.0,,,,,,,,,,,,,
09-4-006537,45.08539,36.7592,45.08528,36.759274,1.0377558,0.034753285,1.1273677,0.9355467,0.5579858,1.2050363,98.50792,0.0000917,0.000118591,0.012989424,0.012637881,3.0232816,0.021912605,0.021395259,1.0,17.0,,,,,,,,,,,,,
12-4-000447,-53.17904,2.0098689,-53.178997,2.00992,1.5796368,0.03286803,1.6153241,1.5358163,0.30986986,1.0517691,175.99869,0.000119122,0.000190873,0.016383968,0.017622245,9.950041,0.04467688,0.016107326,0.87405396,19.0,,,,,,,,,,,,,
10-4-026617,11.552481,10.661909,11.5524845,10.661915,1.203011,0.025359107,1.2430328,1.1600075,0.35933825,1.0715731,26.6258,0.000126749,0.000127985,0.01827434,0.017686868,10.568548,0.051331837,0.022696335,1.0,14.0,,,,,,,,,,,,,
06-1-012293,11.409546,299.8594,11.4095955,299.85944,2.7396436,0.12713207,2.8685715,2.589873,0.42996776,1.1076108,138.66464,0.00057357,0.00059454,0.08533766,0.07912112,13.968989,0.080839925,0.047230583,1.0,16.0,,,,,,,,,,,,,
06-1-011339,14.453356,306.31873,14.453376,306.31876,2.0454593,0.045433432,2.1165411,1.9631958,0.3737013,1.0781101,101.34832,0.000265532,0.000272595,0.037148688,0.03781996,12.206417,0.059998635,0.028096698,1.0,12.0,,,,,,,,,,,,,
10-4-012673,30.13313,5.7174063,30.133091,5.717351,1.0008688,0.040475782,1.078868,0.92240405,0.518671,1.1696264,81.39391,0.000213386,0.000215937,0.031098505,0.02706593,8.5212345,0.057969514,0.048109736,1.0,13.0,,,,,,,,,,,,,
07-1-007739,-11.802534,348.0847,-11.802579,348.08435,1.1527716,0.05840781,1.2433802,1.0550878,0.5290926,1.1784614,150.08473,0.000348905,0.000405424,0.055568855,0.048394553,13.7796335,0.08715524,0.075469464,1.0,10.0,,,,,,,,,,,,,
01-1-000077,73.11953,266.3728,73.11957,266.37265,6.806064,0.12685786,7.1099887,6.49992,0.40527338,1.0938579,120.338615,0.000161929,0.000533428,0.023662388,0.022051835,1.7738214,0.009800504,0.005198514,1.0,77.0,,,,,,,,,,,,,
10-2-002454,6.3001285,50.86118,6.3000693,50.861202,1.3489593,0.03217561,1.3742819,1.3185513,0.28188744,1.0422665,6.3758397,0.000297625,0.000340592,0.047481053,0.042003173,38.845524,0.1534657,0.048980527,1.0,11.0,,,,,,,,,,,,,
11-1-017541,-39.003242,27.521446,-39.003277,27.521324,1.1660779,0.04674571,1.30295,1.0304892,0.6119592,1.2643994,137.58644,0.000117528,0.000148511,0.019643227,0.016199624,2.6092732,0.022263186,0.027539924,1.0,9.0,,,,,,,,,,,,,
07-1-008073,-11.9458685,305.0508,-11.945751,305.05066,1.4689276,0.03773835,1.5859085,1.3723438,0.50119215,1.1556205,46.87315,0.000268115,0.000269817,0.041615244,0.033065192,8.67693,0.05322448,0.041168153,1.0,10.0,,,,,,,,,,,,,
14-4-039128,33.261456,168.46806,33.26146,168.46805,1.168808,0.027519515,1.2030073,1.1366401,0.32755497,1.0583891,178.12825,0.000113395,0.000150376,0.018839005,0.016591458,11.829552,0.05834475,0.022658024,1.0,16.0,,,,,,,,,,,,,
07-0-001938,-23.722612,340.98672,-23.722258,340.98712,9.13258,0.13203312,9.395253,8.875241,0.32807508,1.0585912,78.06853,0.000542991,0.000410623,0.05630444,0.051220372,5.9737024,0.022630166,0.008807363,0.7314018,42.0,1,SLERS,HuBL,,,CpxFF,,Floor Deposits,,,2,2,2
06-1-011139,13.3229,287.17657,13.322913,287.1766,2.6147757,0.053688154,2.6367188,2.585054,0.19698913,1.0199859,86.69929,0.000274726,0.000285514,0.039375644,0.039977152,36.567924,0.10489868,0.021927789,1.0,16.0,,,,,,,,,,,,,
11-4-019804,-19.974966,53.538147,-19.974895,53.53825,1.0072404,0.06695722,1.1155727,0.9031756,0.5869722,1.235167,81.598854,0.000401624,0.000324077,0.060705163,0.044977035,10.346586,0.08237053,0.09111008,1.0,12.0,,,,,,,,,,,,,
